well,row,col,area_px,diameter_px,major_d_px,minor_d_px,aspect,angle_deg,center_x_roi,center_y_roi,dense_x_roi,dense_y_roi,center_x_img,center_y_img,dense_x_img,dense_y_img
A1,0,0,297.5,23.078871726989746,26.632610321044922,19.52513313293457,1.3640168361321754,176.4062957763672,19,27,18,28,19,27,18,28
A2,0,1,369.5,33.33582401275635,36.884891510009766,29.78675651550293,1.2382983521825384,98.62825012207031,66,26,70,36,66,26,70,36
A3,0,2,358.5,30.969721794128418,36.386817932128906,25.55262565612793,1.4239952645885048,55.575157165527344,123,26,114,31,123,26,114,31
A4,0,3,413.5,30.664031982421875,33.205101013183594,28.122962951660156,1.1807113308174175,6.432450294494629,175,25,178,27,175,25,178,27
A5,0,4,415.5,32.83944320678711,34.44880676269531,31.230079650878906,1.1030649664617753,147.25244140625,228,25,230,37,228,25,230,37
A6,0,5,445.5,31.133381843566895,36.84880447387695,25.417959213256836,1.4497153042349016,23.442800521850586,286,26,280,34,286,26,280,34
A7,0,6,364.0,32.139037132263184,35.515708923339844,28.762365341186523,1.2347979208957063,106.93795776367188,337,27,339,37,337,27,339,37
A8,0,7,435.5,33.02503681182861,34.69700241088867,31.353071212768555,1.106654023633841,97.93263244628906,392,24,394,34,392,24,394,34
A9,0,8,312.0,29.98539638519287,34.67115020751953,25.29964256286621,1.3704205552061213,43.41802978515625,450,28,447,36,450,28,447,36
A10,0,9,316.5,28.44130516052246,35.023109436035156,21.859500885009766,1.6021916337555715,45.43047332763672,502,28,495,37,502,28,495,37
A11,0,10,371.0,34.11279296875,35.11027145385742,33.11531448364258,1.0602427306314806,142.8092498779297,554,24,556,34,554,24,556,34
A12,0,11,513.0,32.74965190887451,35.1444206237793,30.354883193969727,1.1577847425471581,39.60096740722656,617,25,608,30,617,25,608,30
B1,1,0,334.0,22.130892753601074,26.56272315979004,17.69906234741211,1.5007983269618768,5.087268352508545,14,68,10,69,14,68,10,69
B2,1,1,300.5,27.633437156677246,30.20281982421875,25.064054489135742,1.2050253017647425,94.43070983886719,65,69,73,62,65,69,73,62
B3,1,2,356.5,27.204371452331543,28.242305755615234,26.16643714904785,1.0793332540744058,109.71649169921875,118,70,116,62,118,70,116,62
B4,1,3,302.0,29.580780029296875,30.940357208251953,28.221202850341797,1.0963514692243965,70.69619750976562,174,68,180,66,174,68,180,66
B5,1,4,294.0,28.012900352478027,29.312767028808594,26.71303367614746,1.0973207829623066,29.574451446533203,227,68,225,79,227,68,225,79
B6,1,5,259.0,32.39096641540527,34.0849609375,30.696971893310547,1.110368835596053,74.8179702758789,282,69,293,72,282,69,293,72
B7,1,6,328.0,29.041504859924316,29.6082763671875,28.474733352661133,1.0398087314984612,51.554046630859375,337,68,340,69,337,68,340,69
B8,1,7,303.0,29.38466167449951,30.206283569335938,28.563039779663086,1.0575304240147032,89.6374740600586,391,68,397,73,391,68,397,73
B9,1,8,431.5,26.387064933776855,29.353511810302734,23.420618057250977,1.2533192650402727,42.70970153808594,447,68,444,67,447,68,444,67
